id,rodada,data,horario,dia,mandante,visitante,vencedor,arena,mandante_placar,visitante_placar,estado_mandante,estado_visitante,estado_vencedor,perdedor,turno_dia,saldo_placar,pontos_mandante,pontos_visitante,temporada
1054,1,2003-03-29,16h00,sábado,athlético-pr,grêmio,athlético-pr,arena da baixada,2.0,0.0,pr,rs,pr,grêmio,tarde,2.0,3,0,temporada_2003
1055,1,2003-03-29,16h00,sábado,guarani,vasco,guarani,brinco de ouro,4.0,2.0,sp,rj,sp,vasco,tarde,2.0,3,0,temporada_2003
1056,1,2003-03-30,16h00,domingo,fortaleza,bahia,-,castelão,0.0,0.0,ce,ba,-,-,tarde,0.0,1,1,temporada_2003
1057,1,2003-03-30,16h00,domingo,flamengo,coritiba,-,maracanã,1.0,1.0,rj,pr,-,-,tarde,0.0,1,1,temporada_2003
1058,1,2003-03-30,16h00,domingo,vitória,figueirense,-,barradão,1.0,1.0,es,sc,-,-,tarde,0.0,1,1,temporada_2003
1059,1,2003-03-30,18h00,domingo,santos,paraná,-,vila belmiro,2.0,2.0,sp,pr,-,-,noite,0.0,1,1,temporada_2003
1060,1,2003-03-30,16h00,domingo,goiás,paysandu,-,serra dourada,2.0,2.0,go,pa,-,-,tarde,0.0,1,1,temporada_2003
1061,1,2003-03-30,16h00,domingo,internacional,ponte preta,-,beira rio,1.0,1.0,rs,sp,-,-,tarde,0.0,1,1,temporada_2003
1062,1,2003-03-30,16h00,domingo,cruzeiro,são caetano,-,mineirão,2.0,2.0,mg,sp,-,-,tarde,0.0,1,1,temporada_2003
1063,1,2003-03-30,16h00,domingo,juventude,são paulo,-,alfredo jaconi,2.0,2.0,rs,sp,-,-,tarde,0.0,1,1,temporada_2003
1064,1,2003-03-30,18h00,domingo,corinthians,atlético-mg,atlético-mg,pacaembu,0.0,3.0,sp,mg,mg,corinthians,noite,-3.0,0,3,temporada_2003
1065,1,2003-03-30,16h00,domingo,criciúma,fluminense,criciúma,heriberto hulse,2.0,0.0,sc,rj,sc,fluminense,tarde,2.0,3,0,temporada_2003
1066,2,2003-04-05,16h00,sábado,fluminense,fortaleza,-,maracanã,1.0,1.0,rj,ce,-,-,tarde,0.0,1,1,temporada_2003
1067,2,2003-04-05,16h00,sábado,atlético-mg,santos,-,mineirão,0.0,0.0,mg,sp,-,-,tarde,0.0,1,1,temporada_2003
1068,2,2003-04-05,18h00,sábado,grêmio,guarani,grêmio,olímpico monumental,3.0,1.0,rs,sp,rs,guarani,noite,2.0,3,0,temporada_2003
1069,2,2003-04-05,16h00,sábado,coritiba,internacional,internacional,couto pereira,0.0,1.0,pr,rs,rs,coritiba,tarde,-1.0,0,3,temporada_2003
1070,2,2003-04-06,16h00,domingo,figueirense,corinthians,-,orlando scarpelli,3.0,3.0,sc,sp,-,-,tarde,0.0,1,1,temporada_2003
1071,2,2003-04-06,18h00,domingo,são paulo,cruzeiro,cruzeiro,morumbi,2.0,4.0,sp,mg,mg,são paulo,noite,-2.0,0,3,temporada_2003
1072,2,2003-04-06,16h00,domingo,bahia,flamengo,flamengo,fonte nova,1.0,2.0,ba,rj,rj,bahia,tarde,-1.0,0,3,temporada_2003
1073,2,2003-04-06,16h00,domingo,paraná,athlético-pr,paraná,pinheirão,3.0,0.0,pr,pr,pr,athlético-pr,tarde,3.0,3,0,temporada_2003
1074,2,2003-04-06,16h00,domingo,ponte preta,juventude,ponte preta,moisés lucarelli,1.0,0.0,sp,rs,sp,juventude,tarde,1.0,3,0,temporada_2003
1075,2,2003-04-06,16h00,domingo,são caetano,criciúma,são caetano,anacleto campanella,3.0,2.0,sp,sc,sp,criciúma,tarde,1.0,3,0,temporada_2003
1076,2,2003-04-06,18h00,domingo,vasco,goiás,vasco,são januário,6.0,4.0,rj,go,rj,goiás,noite,2.0,3,0,temporada_2003
1077,2,2003-04-06,16h00,domingo,paysandu,vitória,vitória,mangueirão,1.0,2.0,pa,es,es,paysandu,tarde,-1.0,0,3,temporada_2003
1078,4,2003-04-09,21h40,quarta-feira,paysandu,santos,paysandu,mangueirão,2.0,1.0,pa,sp,pa,santos,noite,1.0,3,0,temporada_2003
1079,3,2003-04-12,16h00,sábado,athlético-pr,atlético-mg,atlético-mg,arena da baixada,1.0,2.0,pr,mg,mg,athlético-pr,tarde,-1.0,0,3,temporada_2003
1080,3,2003-04-12,18h00,sábado,corinthians,paysandu,corinthians,pacaembu,6.0,1.0,sp,pa,sp,paysandu,noite,5.0,3,0,temporada_2003
1081,3,2003-04-12,16h00,sábado,internacional,bahia,internacional,beira rio,2.0,0.0,rs,ba,rs,bahia,tarde,2.0,3,0,temporada_2003
1082,3,2003-04-12,16h00,sábado,santos,figueirense,santos,vila belmiro,2.0,0.0,sp,sc,sp,figueirense,tarde,2.0,3,0,temporada_2003
1083,3,2003-04-13,16h00,domingo,goiás,grêmio,-,serra dourada,1.0,1.0,go,rs,-,-,tarde,0.0,1,1,temporada_2003
1084,3,2003-04-13,16h00,domingo,fortaleza,são caetano,-,presidente vargas,1.0,1.0,ce,sp,-,-,tarde,0.0,1,1,temporada_2003
1085,3,2003-04-13,16h00,domingo,criciúma,são paulo,-,heriberto hulse,1.0,1.0,sc,sp,-,-,tarde,0.0,1,1,temporada_2003
1086,3,2003-04-13,18h00,domingo,cruzeiro,ponte preta,cruzeiro,mineirão,3.0,0.0,mg,sp,mg,ponte preta,noite,3.0,3,0,temporada_2003
1087,3,2003-04-13,18h00,domingo,flamengo,fluminense,flamengo,maracanã,4.0,1.0,rj,rj,rj,fluminense,noite,3.0,3,0,temporada_2003
1088,3,2003-04-13,16h00,domingo,guarani,paraná,guarani,brinco de ouro,2.0,0.0,sp,pr,sp,paraná,tarde,2.0,3,0,temporada_2003
1089,3,2003-04-13,16h00,domingo,juventude,coritiba,juventude,alfredo jaconi,2.0,1.0,rs,pr,rs,coritiba,tarde,1.0,3,0,temporada_2003
1090,3,2003-04-13,16h00,domingo,vitória,vasco,vitória,barradão,2.0,1.0,es,rj,es,vasco,tarde,1.0,3,0,temporada_2003
1091,4,2003-04-16,20h30,quarta-feira,figueirense,athlético-pr,-,orlando scarpelli,1.0,1.0,sc,pr,-,-,noite,0.0,1,1,temporada_2003
1092,4,2003-04-16,21h40,quarta-feira,vasco,corinthians,-,são januário,2.0,2.0,rj,sp,-,-,noite,0.0,1,1,temporada_2003
1093,4,2003-04-16,20h30,quarta-feira,ponte preta,criciúma,-,moisés lucarelli,1.0,1.0,sp,sc,-,-,noite,0.0,1,1,temporada_2003
1094,4,2003-04-16,21h40,quarta-feira,são caetano,flamengo,-,anacleto campanella,1.0,1.0,sp,rj,-,-,noite,0.0,1,1,temporada_2003
1095,4,2003-04-16,20h30,quarta-feira,atlético-mg,guarani,atlético-mg,mineirão,3.0,2.0,mg,sp,mg,guarani,noite,1.0,3,0,temporada_2003
1096,4,2003-04-16,20h30,quarta-feira,bahia,juventude,bahia,fonte nova,3.0,1.0,ba,rs,ba,juventude,noite,2.0,3,0,temporada_2003
1097,4,2003-04-16,21h40,quarta-feira,coritiba,cruzeiro,cruzeiro,couto pereira,3.0,4.0,pr,mg,mg,coritiba,noite,-1.0,0,3,temporada_2003
1098,4,2003-04-16,20h30,quarta-feira,grêmio,vitória,grêmio,olímpico monumental,2.0,1.0,rs,es,rs,vitória,noite,1.0,3,0,temporada_2003
1099,4,2003-04-17,20h30,quinta-feira,fluminense,internacional,fluminense,maracanã,3.0,1.0,rj,rs,rj,internacional,noite,2.0,3,0,temporada_2003
1100,4,2003-04-17,20h30,quinta-feira,paraná,goiás,paraná,pinheirão,3.0,1.0,pr,go,pr,goiás,noite,2.0,3,0,temporada_2003
1101,4,2003-04-17,20h30,quinta-feira,são paulo,fortaleza,são paulo,morumbi,3.0,1.0,sp,ce,sp,fortaleza,noite,2.0,3,0,temporada_2003
1102,12,2003-04-18,20h30,quarta-feira,flamengo,cruzeiro,flamengo,maracanã,3.0,0.0,rj,mg,rj,cruzeiro,noite,3.0,3,0,temporada_2003
1103,5,2003-04-19,16h00,sábado,são caetano,grêmio,-,anacleto campanella,1.0,1.0,sp,rs,-,-,tarde,0.0,1,1,temporada_2003
1104,5,2003-04-19,16h00,sábado,bahia,atlético-mg,atlético-mg,fonte nova,2.0,4.0,ba,mg,mg,bahia,tarde,-2.0,0,3,temporada_2003
1105,5,2003-04-19,18h00,sábado,flamengo,santos,santos,maracanã,0.0,2.0,rj,sp,sp,flamengo,noite,-2.0,0,3,temporada_2003
1106,5,2003-04-20,18h00,domingo,fluminense,paraná,-,maracanã,0.0,0.0,rj,pr,-,-,noite,0.0,1,1,temporada_2003
1107,5,2003-04-20,16h00,domingo,ponte preta,paysandu,-,moisés lucarelli,4.0,4.0,sp,pa,-,-,tarde,0.0,1,1,temporada_2003
1108,5,2003-04-20,16h00,domingo,juventude,vitória,-,alfredo jaconi,1.0,1.0,rs,es,-,-,tarde,0.0,1,1,temporada_2003
1109,5,2003-04-20,16h00,domingo,criciúma,guarani,criciúma,heriberto hulse,1.0,0.0,sc,sp,sc,guarani,tarde,1.0,3,0,temporada_2003
1110,5,2003-04-20,18h00,domingo,cruzeiro,goiás,cruzeiro,mineirão,4.0,1.0,mg,go,mg,goiás,noite,3.0,3,0,temporada_2003
1111,5,2003-04-20,16h00,domingo,fortaleza,athlético-pr,fortaleza,presidente vargas,1.0,0.0,ce,pr,ce,athlético-pr,tarde,1.0,3,0,temporada_2003
1112,5,2003-04-20,16h00,domingo,internacional,corinthians,internacional,beira rio,2.0,1.0,rs,sp,rs,corinthians,tarde,1.0,3,0,temporada_2003
1113,5,2003-04-20,16h00,domingo,são paulo,vasco,são paulo,morumbi,3.0,1.0,sp,rj,sp,vasco,tarde,2.0,3,0,temporada_2003
1114,5,2003-04-21,20h30,segunda-feira,coritiba,figueirense,coritiba,couto pereira,1.0,0.0,pr,sc,pr,figueirense,noite,1.0,3,0,temporada_2003
1115,6,2003-04-26,18h00,sábado,guarani,cruzeiro,-,brinco de ouro,1.0,1.0,sp,mg,-,-,noite,0.0,1,1,temporada_2003
1116,6,2003-04-26,16h00,sábado,atlético-mg,coritiba,coritiba,mineirão,1.0,2.0,mg,pr,pr,atlético-mg,tarde,-1.0,0,3,temporada_2003
1117,6,2003-04-26,16h00,sábado,vitória,internacional,internacional,barradão,0.0,3.0,es,rs,rs,vitória,tarde,-3.0,0,3,temporada_2003
1118,6,2003-04-26,16h00,sábado,paraná,bahia,paraná,pinheirão,3.0,1.0,pr,ba,pr,bahia,tarde,2.0,3,0,temporada_2003
1119,6,2003-04-27,16h00,domingo,corinthians,flamengo,-,pacaembu,1.0,1.0,sp,rj,-,-,tarde,0.0,1,1,temporada_2003
1120,6,2003-04-27,16h00,domingo,figueirense,ponte preta,-,orlando scarpelli,0.0,0.0,sc,sp,-,-,tarde,0.0,1,1,temporada_2003
1121,6,2003-04-27,16h00,domingo,athlético-pr,criciúma,athlético-pr,arena da baixada,4.0,2.0,pr,sc,pr,criciúma,tarde,2.0,3,0,temporada_2003
1122,6,2003-04-27,16h00,domingo,grêmio,fluminense,fluminense,olímpico monumental,0.0,1.0,rs,rj,rj,grêmio,tarde,-1.0,0,3,temporada_2003
1123,6,2003-04-27,16h00,domingo,goiás,juventude,goiás,serra dourada,7.0,0.0,go,rs,go,juventude,tarde,7.0,3,0,temporada_2003
1124,6,2003-04-27,18h00,domingo,paysandu,são paulo,paysandu,mangueirão,5.0,2.0,pa,sp,pa,são paulo,noite,3.0,3,0,temporada_2003
1125,6,2003-04-27,16h00,domingo,santos,fortaleza,santos,vila belmiro,4.0,0.0,sp,ce,sp,fortaleza,tarde,4.0,3,0,temporada_2003
1126,6,2003-04-27,18h00,domingo,vasco,são caetano,vasco,são januário,1.0,0.0,rj,sp,rj,são caetano,noite,1.0,3,0,temporada_2003
1127,7,2003-05-03,16h00,sábado,bahia,grêmio,bahia,fonte nova,2.0,1.0,ba,rs,ba,grêmio,tarde,1.0,3,0,temporada_2003
1128,7,2003-05-03,18h00,sábado,cruzeiro,athlético-pr,cruzeiro,mineirão,5.0,2.0,mg,pr,mg,athlético-pr,noite,3.0,3,0,temporada_2003
1129,7,2003-05-03,16h00,sábado,flamengo,vitória,flamengo,maracanã,2.0,1.0,rj,es,rj,vitória,tarde,1.0,3,0,temporada_2003
1130,7,2003-05-04,16h00,domingo,juventude,guarani,-,alfredo jaconi,1.0,1.0,rs,sp,-,-,tarde,0.0,1,1,temporada_2003
1131,7,2003-05-04,18h00,domingo,fluminense,vasco,-,maracanã,0.0,0.0,rj,rj,-,-,noite,0.0,1,1,temporada_2003
1132,7,2003-05-04,16h00,domingo,fortaleza,corinthians,corinthians,castelão,1.0,2.0,ce,sp,sp,fortaleza,tarde,-1.0,0,3,temporada_2003
1133,7,2003-05-04,16h00,domingo,coritiba,paraná,coritiba,couto pereira,2.0,1.0,pr,pr,pr,paraná,tarde,1.0,3,0,temporada_2003
1134,7,2003-05-04,16h00,domingo,internacional,goiás,internacional,beira rio,2.0,1.0,rs,go,rs,goiás,tarde,1.0,3,0,temporada_2003
1135,7,2003-05-04,16h00,domingo,ponte preta,atlético-mg,ponte preta,moisés lucarelli,2.0,1.0,sp,mg,sp,atlético-mg,tarde,1.0,3,0,temporada_2003
1136,7,2003-05-04,18h00,domingo,criciúma,santos,santos,heriberto hulse,1.0,3.0,sc,sp,sp,criciúma,noite,-2.0,0,3,temporada_2003
1137,7,2003-05-04,16h00,domingo,são caetano,paysandu,são caetano,anacleto campanella,2.0,0.0,sp,pa,sp,paysandu,tarde,2.0,3,0,temporada_2003
1138,7,2003-05-04,16h00,domingo,são paulo,figueirense,são paulo,morumbi,3.0,2.0,sp,sc,sp,figueirense,tarde,1.0,3,0,temporada_2003
1139,8,2003-05-10,16h00,sábado,goiás,flamengo,-,serra dourada,1.0,1.0,go,rj,-,-,tarde,0.0,1,1,temporada_2003
1140,8,2003-05-10,18h00,sábado,corinthians,criciúma,corinthians,pacaembu,3.0,0.0,sp,sc,sp,criciúma,noite,3.0,3,0,temporada_2003
1141,8,2003-05-10,16h00,sábado,santos,cruzeiro,cruzeiro,vila belmiro,0.0,2.0,sp,mg,mg,santos,tarde,-2.0,0,3,temporada_2003
1142,8,2003-05-10,16h00,sábado,paraná,ponte preta,paraná,pinheirão,3.0,2.0,pr,sp,pr,ponte preta,tarde,1.0,3,0,temporada_2003
1143,8,2003-05-11,16h00,domingo,vasco,bahia,-,são januário,1.0,1.0,rj,ba,-,-,tarde,0.0,1,1,temporada_2003
1144,8,2003-05-11,16h00,domingo,paysandu,fluminense,-,mangueirão,2.0,2.0,pa,rj,-,-,tarde,0.0,1,1,temporada_2003
1145,8,2003-05-11,16h00,domingo,atlético-mg,são paulo,-,mineirão,2.0,2.0,mg,sp,-,-,tarde,0.0,1,1,temporada_2003
1146,8,2003-05-11,16h00,domingo,athlético-pr,juventude,athlético-pr,arena da baixada,2.0,0.0,pr,rs,pr,juventude,tarde,2.0,3,0,temporada_2003
1147,8,2003-05-11,16h00,domingo,figueirense,são caetano,figueirense,orlando scarpelli,3.0,0.0,sc,sp,sc,são caetano,tarde,3.0,3,0,temporada_2003
1148,8,2003-05-11,18h00,domingo,grêmio,coritiba,grêmio,olímpico monumental,1.0,0.0,rs,pr,rs,coritiba,noite,1.0,3,0,temporada_2003
1149,8,2003-05-11,16h00,domingo,guarani,internacional,guarani,brinco de ouro,3.0,0.0,sp,rs,sp,internacional,tarde,3.0,3,0,temporada_2003
1150,8,2003-05-11,16h00,domingo,vitória,fortaleza,vitória,barradão,2.0,1.0,es,ce,es,fortaleza,tarde,1.0,3,0,temporada_2003
1151,9,2003-05-17,18h00,sábado,juventude,santos,-,alfredo jaconi,1.0,1.0,rs,sp,-,-,noite,0.0,1,1,temporada_2003
1152,9,2003-05-17,16h00,sábado,fluminense,figueirense,fluminense,maracanã,3.0,0.0,rj,sc,rj,figueirense,tarde,3.0,3,0,temporada_2003
1153,9,2003-05-17,16h00,sábado,são caetano,atlético-mg,são caetano,anacleto campanella,2.0,0.0,sp,mg,sp,atlético-mg,tarde,2.0,3,0,temporada_2003
1154,9,2003-05-18,16h00,domingo,internacional,athlético-pr,-,beira rio,1.0,1.0,rs,pr,-,-,tarde,0.0,1,1,temporada_2003
1155,9,2003-05-18,16h00,domingo,cruzeiro,corinthians,-,mineirão,1.0,1.0,mg,sp,-,-,tarde,0.0,1,1,temporada_2003
1156,9,2003-05-18,18h00,domingo,flamengo,guarani,-,maracanã,1.0,1.0,rj,sp,-,-,noite,0.0,1,1,temporada_2003
1157,9,2003-05-18,16h00,domingo,coritiba,vasco,-,couto pereira,1.0,1.0,pr,rj,-,-,tarde,0.0,1,1,temporada_2003
1158,9,2003-05-18,16h00,domingo,criciúma,vitória,-,heriberto hulse,1.0,1.0,sc,es,-,-,tarde,0.0,1,1,temporada_2003
1159,9,2003-05-18,16h00,domingo,bahia,paysandu,bahia,fonte nova,2.0,0.0,ba,pa,ba,paysandu,tarde,2.0,3,0,temporada_2003
1160,9,2003-05-18,16h00,domingo,fortaleza,goiás,fortaleza,castelão,1.0,0.0,ce,go,ce,goiás,tarde,1.0,3,0,temporada_2003
1161,9,2003-05-18,16h00,domingo,ponte preta,grêmio,ponte preta,moisés lucarelli,2.0,1.0,sp,rs,sp,grêmio,tarde,1.0,3,0,temporada_2003
1162,9,2003-05-18,18h00,domingo,são paulo,paraná,são paulo,morumbi,2.0,0.0,sp,pr,sp,paraná,noite,2.0,3,0,temporada_2003
1163,10,2003-05-24,16h00,sábado,paraná,são caetano,-,pinheirão,1.0,1.0,pr,sp,-,-,tarde,0.0,1,1,temporada_2003
1164,10,2003-05-24,16h00,sábado,atlético-mg,fluminense,atlético-mg,independência,3.0,0.0,mg,rj,mg,fluminense,tarde,3.0,3,0,temporada_2003
1165,10,2003-05-24,16h00,sábado,corinthians,juventude,corinthians,pacaembu,3.0,0.0,sp,rs,sp,juventude,tarde,3.0,3,0,temporada_2003
1166,10,2003-05-24,18h00,sábado,vasco,ponte preta,vasco,são januário,1.0,0.0,rj,sp,rj,ponte preta,noite,1.0,3,0,temporada_2003
1167,10,2003-05-25,16h00,domingo,athlético-pr,flamengo,athlético-pr,arena da baixada,4.0,1.0,pr,rj,pr,flamengo,tarde,3.0,3,0,temporada_2003
1168,10,2003-05-25,16h00,domingo,paysandu,coritiba,coritiba,mangueirão,1.0,3.0,pa,pr,pr,paysandu,tarde,-2.0,0,3,temporada_2003
1169,10,2003-05-25,16h00,domingo,goiás,criciúma,criciúma,serra dourada,0.0,2.0,go,sc,sc,goiás,tarde,-2.0,0,3,temporada_2003
1170,10,2003-05-25,16h00,domingo,figueirense,bahia,figueirense,orlando scarpelli,1.0,0.0,sc,ba,sc,bahia,tarde,1.0,3,0,temporada_2003
1171,10,2003-05-25,16h00,domingo,guarani,fortaleza,guarani,brinco de ouro,2.0,1.0,sp,ce,sp,fortaleza,tarde,1.0,3,0,temporada_2003
1172,10,2003-05-25,18h00,domingo,santos,internacional,santos,vila belmiro,2.0,1.0,sp,rs,sp,internacional,noite,1.0,3,0,temporada_2003
1173,10,2003-05-25,16h00,domingo,grêmio,são paulo,são paulo,olímpico monumental,1.0,2.0,rs,sp,sp,grêmio,tarde,-1.0,0,3,temporada_2003
1174,10,2003-05-25,18h00,domingo,vitória,cruzeiro,vitória,barradão,2.0,1.0,es,mg,es,cruzeiro,noite,1.0,3,0,temporada_2003
1175,11,2003-05-31,16h00,sábado,ponte preta,são caetano,-,moisés lucarelli,0.0,0.0,sp,sp,-,-,tarde,0.0,1,1,temporada_2003
1176,11,2003-05-31,16h00,sábado,coritiba,guarani,coritiba,couto pereira,3.0,2.0,pr,sp,pr,guarani,tarde,1.0,3,0,temporada_2003
1177,11,2003-05-31,16h00,sábado,cruzeiro,criciúma,cruzeiro,mineirão,2.0,0.0,mg,sc,mg,criciúma,tarde,2.0,3,0,temporada_2003
1178,11,2003-05-31,16h00,sábado,fluminense,athlético-pr,fluminense,edson passos,2.0,1.0,rj,pr,rj,athlético-pr,tarde,1.0,3,0,temporada_2003
1179,11,2003-05-31,18h00,sábado,internacional,paysandu,internacional,beira rio,2.0,1.0,rs,pa,rs,paysandu,noite,1.0,3,0,temporada_2003
1180,11,2003-06-01,18h00,domingo,vasco,atlético-mg,-,são januário,2.0,2.0,rj,mg,-,-,noite,0.0,1,1,temporada_2003
1181,11,2003-06-01,16h00,domingo,bahia,goiás,bahia,fonte nova,2.0,1.0,ba,go,ba,goiás,tarde,1.0,3,0,temporada_2003
1182,11,2003-06-01,18h00,domingo,corinthians,vitória,corinthians,pacaembu,4.0,0.0,sp,es,sp,vitória,noite,4.0,3,0,temporada_2003
1183,11,2003-06-01,16h00,domingo,figueirense,grêmio,figueirense,orlando scarpelli,2.0,1.0,sc,rs,sc,grêmio,tarde,1.0,3,0,temporada_2003
1184,11,2003-06-01,16h00,domingo,fortaleza,juventude,fortaleza,castelão,3.0,1.0,ce,rs,ce,juventude,tarde,2.0,3,0,temporada_2003
1185,11,2003-06-01,16h00,domingo,paraná,flamengo,paraná,pinheirão,6.0,2.0,pr,rj,pr,flamengo,tarde,4.0,3,0,temporada_2003
1186,11,2003-06-01,16h00,domingo,santos,são paulo,santos,vila belmiro,3.0,2.0,sp,sp,sp,são paulo,tarde,1.0,3,0,temporada_2003
1187,12,2003-06-07,18h00,sábado,atlético-mg,figueirense,-,independência,1.0,1.0,mg,sc,-,-,noite,0.0,1,1,temporada_2003
1188,12,2003-06-07,16h00,sábado,grêmio,fortaleza,grêmio,olímpico monumental,3.0,1.0,rs,ce,rs,fortaleza,tarde,2.0,3,0,temporada_2003
1189,12,2003-06-07,16h00,sábado,guarani,santos,santos,brinco de ouro,1.0,2.0,sp,sp,sp,guarani,tarde,-1.0,0,3,temporada_2003
1190,12,2003-06-07,16h00,sábado,vitória,fluminense,vitória,barradão,2.0,1.0,es,rj,es,fluminense,tarde,1.0,3,0,temporada_2003
1191,12,2003-06-08,18h00,domingo,são paulo,bahia,-,morumbi,2.0,2.0,sp,ba,-,-,noite,0.0,1,1,temporada_2003
1192,12,2003-06-08,16h00,domingo,juventude,vasco,-,alfredo jaconi,0.0,0.0,rs,rj,-,-,tarde,0.0,1,1,temporada_2003
1193,12,2003-06-08,16h00,domingo,athlético-pr,ponte preta,athlético-pr,arena da baixada,4.0,2.0,pr,sp,pr,ponte preta,tarde,2.0,3,0,temporada_2003
1194,12,2003-06-08,16h00,domingo,goiás,coritiba,coritiba,serra dourada,1.0,2.0,go,pr,pr,goiás,tarde,-1.0,0,3,temporada_2003
1195,12,2003-06-08,18h00,domingo,criciúma,internacional,criciúma,heriberto hulse,1.0,0.0,sc,rs,sc,internacional,noite,1.0,3,0,temporada_2003
1196,12,2003-06-08,16h00,domingo,paysandu,paraná,paysandu,mangueirão,3.0,0.0,pa,pr,pa,paraná,tarde,3.0,3,0,temporada_2003
1197,12,2003-06-08,16h00,domingo,são caetano,corinthians,são caetano,anacleto campanella,1.0,0.0,sp,sp,sp,corinthians,tarde,1.0,3,0,temporada_2003
1198,13,2003-06-14,18h00,sábado,coritiba,athlético-pr,coritiba,couto pereira,2.0,0.0,pr,pr,pr,athlético-pr,noite,2.0,3,0,temporada_2003
1199,13,2003-06-14,16h00,sábado,fluminense,goiás,goiás,maracanã,2.0,3.0,rj,go,go,fluminense,tarde,-1.0,0,3,temporada_2003
1200,13,2003-06-14,16h00,sábado,ponte preta,guarani,guarani,moisés lucarelli,0.0,2.0,sp,sp,sp,ponte preta,tarde,-2.0,0,3,temporada_2003
1201,13,2003-06-15,18h00,domingo,cruzeiro,atlético-mg,-,mineirão,0.0,0.0,mg,mg,-,-,noite,0.0,1,1,temporada_2003
1202,13,2003-06-15,16h00,domingo,grêmio,internacional,-,olímpico monumental,0.0,0.0,rs,rs,-,-,tarde,0.0,1,1,temporada_2003
1203,13,2003-06-15,16h00,domingo,bahia,vitória,bahia,fonte nova,2.0,1.0,ba,es,ba,vitória,tarde,1.0,3,0,temporada_2003
1204,13,2003-06-15,16h00,domingo,criciúma,figueirense,criciúma,heriberto hulse,1.0,0.0,sc,sc,sc,figueirense,tarde,1.0,3,0,temporada_2003
1205,13,2003-06-15,18h00,domingo,vasco,flamengo,flamengo,maracanã,1.0,2.0,rj,rj,rj,vasco,noite,-1.0,0,3,temporada_2003
1206,13,2003-06-15,16h00,domingo,paraná,juventude,juventude,pinheirão,1.0,2.0,pr,rs,rs,paraná,tarde,-1.0,0,3,temporada_2003
1207,13,2003-06-15,16h00,domingo,fortaleza,paysandu,paysandu,presidente vargas,1.0,2.0,ce,pa,pa,fortaleza,tarde,-1.0,0,3,temporada_2003
1208,13,2003-06-15,16h00,domingo,santos,são caetano,são caetano,vila belmiro,0.0,1.0,sp,sp,sp,santos,tarde,-1.0,0,3,temporada_2003
1209,13,2003-06-15,16h00,domingo,corinthians,são paulo,são paulo,morumbi,1.0,2.0,sp,sp,sp,corinthians,tarde,-1.0,0,3,temporada_2003
1210,14,2003-06-19,16h00,quinta-feira,bahia,coritiba,-,fonte nova,2.0,2.0,ba,pr,-,-,tarde,0.0,1,1,temporada_2003
1211,14,2003-06-21,16h00,sábado,atlético-mg,grêmio,atlético-mg,mineirão,3.0,2.0,mg,rs,mg,grêmio,tarde,1.0,3,0,temporada_2003
1212,14,2003-06-21,16h00,sábado,internacional,paraná,internacional,beira rio,2.0,1.0,rs,pr,rs,paraná,tarde,1.0,3,0,temporada_2003
1213,14,2003-06-21,18h00,sábado,são paulo,goiás,são paulo,morumbi,1.0,0.0,sp,go,sp,goiás,noite,1.0,3,0,temporada_2003
1214,14,2003-06-21,16h00,sábado,vasco,criciúma,vasco,são januário,2.0,0.0,rj,sc,rj,criciúma,tarde,2.0,3,0,temporada_2003
1215,14,2003-06-22,16h00,domingo,ponte preta,corinthians,-,moisés lucarelli,3.0,3.0,sp,sp,-,-,tarde,0.0,1,1,temporada_2003
1216,14,2003-06-22,16h00,domingo,paysandu,flamengo,-,mangueirão,2.0,2.0,pa,rj,-,-,tarde,0.0,1,1,temporada_2003
1217,14,2003-06-22,16h00,domingo,figueirense,fortaleza,-,orlando scarpelli,2.0,2.0,sc,ce,-,-,tarde,0.0,1,1,temporada_2003
1218,14,2003-06-22,18h00,domingo,juventude,cruzeiro,cruzeiro,alfredo jaconi,0.0,1.0,rs,mg,mg,juventude,noite,-1.0,0,3,temporada_2003
1219,14,2003-06-22,18h00,domingo,fluminense,guarani,fluminense,maracanã,5.0,2.0,rj,sp,rj,guarani,noite,3.0,3,0,temporada_2003
1220,14,2003-06-22,16h00,domingo,são caetano,vitória,são caetano,anacleto campanella,2.0,1.0,sp,es,sp,vitória,tarde,1.0,3,0,temporada_2003
1221,15,2003-06-28,16h00,sábado,coritiba,são caetano,coritiba,couto pereira,2.0,0.0,pr,sp,pr,são caetano,tarde,2.0,3,0,temporada_2003
1222,15,2003-06-28,18h00,sábado,flamengo,figueirense,figueirense,maracanã,0.0,2.0,rj,sc,sc,flamengo,noite,-2.0,0,3,temporada_2003
1223,15,2003-06-28,16h00,sábado,grêmio,juventude,juventude,olímpico monumental,1.0,4.0,rs,rs,rs,grêmio,tarde,-3.0,0,3,temporada_2003
1224,15,2003-06-28,16h00,sábado,santos,bahia,santos,vila belmiro,4.0,0.0,sp,ba,sp,bahia,tarde,4.0,3,0,temporada_2003
1225,15,2003-06-28,16h00,sábado,fortaleza,vasco,vasco,castelão,0.0,1.0,ce,rj,rj,fortaleza,tarde,-1.0,0,3,temporada_2003
1226,15,2003-06-29,18h00,domingo,paraná,atlético-mg,-,pinheirão,1.0,1.0,pr,mg,-,-,noite,0.0,1,1,temporada_2003
